Brand,Model,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,paint_color,Brand_id,Model_id,Fuel_Type_id,Transmission_id,Owner_Type_id,paint_color_id
Volkswagen,Vento,2014,55431,Petrol,Manual,Second,16,1598,5,698000,white,29,181,4,1,2,10
Maruti,Wagon R,2009,83816,Petrol,Manual,Second,14,1061,5,185000,silver,18,189,4,1,2,9
Maruti,Vitara,2018,50075,Diesel,Manual,First,24,1248,5,863000,purple,18,186,1,1,0,7
Mahindra,KUV,2017,52000,Petrol,Manual,First,18,1198,5,484999,purple,17,102,4,1,0,7
Mercedes-Benz,M-Class,2013,85000,Diesel,Automatic,First,12,2987,5,2800000,white,19,110,1,0,0,10
Volkswagen,Polo,2013,62000,Diesel,Manual,First,22,1199,5,500000,blue,29,131,1,1,0,1
Maruti,Alto,2008,90000,Petrol,Manual,Second,20,796,5,125000,red,18,15,4,1,2,8
Tata,Nano,2014,19698,Petrol,Manual,First,25,624,4,153000,red,27,117,4,1,0,8
Mahindra,KUV,2017,22033,Diesel,Manual,First,25,1198,6,558000,silver,17,102,1,1,0,9
Hyundai,i20,2014,35487,Petrol,Manual,First,19,1197,5,474000,black,10,210,4,1,0,0
Hyundai,Elantra,2014,46374,Petrol,Automatic,First,15,1999,5,885000,custom,10,65,4,0,0,3
Toyota,Corolla,2016,52001,Petrol,Automatic,First,14,1798,5,1011000,green,28,51,4,0,0,4
Hyundai,Elantra,2008,58005,Diesel,Manual,Second,15,1991,5,425000,black,10,65,1,1,2,0
Toyota,Innova,2012,70704,Petrol,Manual,First,11,2694,7,1095000,black,28,98,4,1,0,0
Hyundai,Xcent,2014,75000,Diesel,Manual,First,24,1120,5,385000,white,10,202,1,1,0,10
Mahindra,Thar,2012,75800,Diesel,Manual,Second,17,2498,6,550000,silver,17,175,1,1,2,9
Audi,A4,2015,13648,Diesel,Automatic,First,17,1968,5,2143000,silver,1,10,1,0,0,9
Maruti,Swift,2014,52000,Diesel,Manual,First,23,1248,5,425000,white,18,169,1,1,0,10
Maruti,Swift,2014,53000,Diesel,Manual,First,18,1248,5,330000,white,18,169,1,1,0,10
Maruti,Swift,2013,65650,Diesel,Manual,First,28,1248,5,385000,white,18,169,1,1,0,10
Hyundai,Grand,2015,54000,Petrol,Manual,Third,19,1197,5,360000,blue,10,91,4,1,3,1
Volkswagen,Vento,2015,39000,Petrol,Manual,First,15,1598,5,399000,blue,29,181,4,1,0,1
Renault,KWID,2017,16542,Petrol,Manual,First,25,799,5,330000,grey,24,103,4,1,0,5
Hyundai,i10,2010,32000,Petrol,Manual,First,20,1197,5,206999,grey,10,209,4,1,0,5
Nissan,X-Trail,2010,121812,Diesel,Automatic,First,13,1995,5,775000,grey,22,190,1,0,0,5
Maruti,Zen,2010,39300,Petrol,Manual,First,18,998,5,225000,silver,18,207,4,1,0,9
Toyota,Innova,2017,22000,Diesel,Manual,First,14,2393,8,1650000,silver,28,98,1,1,0,9
Ford,Figo,2010,72000,Diesel,Manual,First,20,1399,5,275000,silver,8,77,1,1,0,9
Mercedes-Benz,New,2015,58000,Petrol,Automatic,First,12,1796,5,2670000,custom,19,118,4,0,0,3
Mercedes-Benz,New,2011,65000,Diesel,Manual,Second,16,2148,5,1000000,white,19,118,1,1,2,10
Tata,Indica,2016,178000,Diesel,Manual,First,25,1396,5,250000,white,27,96,1,1,0,10
Audi,A4,2012,65664,Diesel,Automatic,First,17,1968,5,1350000,silver,1,10,1,0,0,9
Honda,City,2007,63000,Petrol,Automatic,Second,16,1497,5,185000,silver,9,44,4,0,2,9
Mercedes-Benz,C-Class,2019,15369,Diesel,Automatic,First,8,1950,5,3567000,white,19,32,1,0,0,10
Maruti,Ertiga,2016,63000,Diesel,Manual,First,25,1248,7,815000,silver,18,69,1,1,0,9
Hyundai,Creta,2018,13000,Diesel,Manual,First,22,1396,5,1050000,silver,10,53,1,1,0,9
Porsche,Cayenne,2008,73000,Petrol,Automatic,First,9,4806,5,1450000,silver,23,39,4,0,0,9
Mahindra,XUV500,2015,55729,Diesel,Manual,First,15,2179,7,965000,silver,17,201,1,1,0,9
Hyundai,i10,2012,45178,Petrol,Automatic,First,17,1197,5,348000,silver,10,209,4,0,0,9
Nissan,Terrano,2015,56066,Diesel,Manual,First,20,1461,5,692000,brown,22,174,1,1,0,2
Honda,Brio,2016,37300,Petrol,Automatic,Second,17,1198,5,646000,brown,9,31,4,0,2,2
Audi,A6,2014,56000,Diesel,Automatic,Second,19,1968,5,2950000,grey,1,11,1,0,2,5
Ford,Fiesta,2008,111111,Diesel,Manual,First,18,1399,5,200000,silver,8,76,1,1,0,9
Toyota,Innova,2006,230000,Petrol,Manual,Third,12,1998,8,450000,silver,28,98,4,1,3,9
Toyota,Innova,2012,104000,Diesel,Manual,First,13,2494,7,1175000,silver,28,98,1,1,0,9
Hyundai,Santro,2005,87591,Petrol,Manual,First,0,1086,5,130000,blue,10,159,4,1,0,1
Maruti,Swift,2012,95100,Diesel,Manual,First,23,1248,5,375000,white,18,169,1,1,0,10
Tata,Zest,2017,70000,Petrol,Manual,First,18,1193,5,450000,blue,27,208,4,1,0,1
Honda,Amaze,2016,54944,Petrol,Manual,First,18,1198,5,482000,brown,9,16,4,1,0,2
Ford,Figo,2012,70337,Diesel,Manual,First,20,1399,5,280000,white,8,77,1,1,0,10
Maruti,Ritz,2013,99638,Diesel,Manual,First,23,1248,5,311000,white,18,145,1,1,0,10
Honda,City,2009,52000,Petrol,Manual,First,18,1497,5,325000,white,9,44,4,1,0,10
BMW,5,2011,75000,Diesel,Automatic,Second,17,1995,5,1390000,white,2,3,1,0,2,10
Hyundai,i10,2009,95980,Petrol,Manual,First,20,1197,5,225000,black,10,209,4,1,0,0
Hyundai,Grand,2016,16000,Petrol,Manual,First,19,1197,5,575000,red,10,91,4,1,0,8
Hyundai,Santro,2007,73745,Petrol,Manual,First,17,1086,5,210000,red,10,159,4,1,0,8
Honda,Amaze,2016,18949,Petrol,Manual,First,18,1198,5,500000,green,9,16,4,1,0,4
Toyota,Fortuner,2014,107000,Diesel,Manual,First,13,2982,7,1650000,white,28,79,1,1,0,10
Audi,A6,2018,48367,Diesel,Automatic,First,18,1968,5,3958000,white,1,11,1,0,0,10
Ford,Ecosport,2013,57000,Diesel,Manual,First,23,1498,5,550000,white,8,63,1,1,0,10
Mahindra,XUV500,2014,58000,Diesel,Manual,First,15,2179,7,810000,white,17,201,1,1,0,10
Honda,Amaze,2015,30000,Diesel,Manual,First,26,1498,5,350000,blue,9,16,1,1,0,1
Volkswagen,Polo,2013,34212,Diesel,Manual,First,22,1199,5,279000,black,29,131,1,1,0,0
Hyundai,Verna,2010,70002,Diesel,Manual,First,16,1493,5,345000,white,10,184,1,1,0,10
Maruti,Wagon R,2016,62000,Petrol,Manual,First,19,998,5,445000,red,18,189,4,1,0,8
Volkswagen,Polo,2010,62001,Petrol,Manual,First,15,1598,5,265000,red,29,131,4,1,0,8
Hyundai,i20,2011,78958,Diesel,Manual,Second,23,1396,5,380000,black,10,210,1,1,2,0
Hyundai,i20,2014,30180,Petrol,Manual,First,19,1197,5,465000,red,10,210,4,1,0,8
Datsun,GO,2017,32851,Petrol,Manual,First,20,1198,7,395000,black,5,88,4,1,0,0
Audi,A4,2010,30000,Diesel,Automatic,First,15,2967,5,980000,white,1,10,1,0,0,10
Hyundai,i20,2009,66000,Petrol,Manual,Second,17,1197,5,270000,black,10,210,4,1,2,0
Maruti,Omni,2010,93850,Petrol,Manual,First,14,796,5,241000,silver,18,122,4,1,0,9
Toyota,Etios,2014,53000,Petrol,Manual,First,18,1197,5,390000,white,28,72,4,1,0,10
Jaguar,XF,2011,78000,Diesel,Automatic,Second,15,2993,5,2400000,blue,13,198,1,0,2,1
Mahindra,XUV500,2012,65000,Diesel,Manual,Second,16,2179,7,575000,orange,17,201,1,1,2,6
Hyundai,Verna,2014,40000,Diesel,Automatic,First,22,1582,5,525000,silver,10,184,1,0,0,9
Toyota,Innova,2017,30000,Diesel,Automatic,First,11,2755,7,1925000,black,28,98,1,0,0,0
Maruti,Eeco,2017,38053,Petrol,Manual,First,15,1196,5,391000,black,18,64,4,1,0,0
Tata,Nano,2014,25500,Petrol,Manual,First,25,624,4,215000,blue,27,117,4,1,0,1
BMW,3,2015,56087,Diesel,Automatic,First,23,1995,5,2075000,grey,2,2,1,0,0,5
Honda,Civic,2010,71088,Petrol,Manual,First,14,1799,5,335000,black,9,45,4,1,0,0
Toyota,Innova,2014,55000,Diesel,Manual,First,13,2494,7,1111000,black,28,98,1,1,0,0
Volvo,V40,2014,32700,Diesel,Automatic,First,23,1984,5,2000000,silver,30,180,1,0,0,9
Nissan,Micra,2016,39882,Petrol,Automatic,First,19,1198,5,655000,black,22,113,4,0,0,0
BMW,5,2009,128000,Petrol,Automatic,First,11,2497,5,700000,red,2,3,4,0,0,8
Maruti,Vitara,2016,55000,Diesel,Manual,First,24,1248,5,750000,red,18,186,1,1,0,8
Hyundai,Santro,2005,102000,Petrol,Manual,Second,17,1086,5,85000,red,10,159,4,1,2,8
Mercedes-Benz,B,2014,53753,Diesel,Automatic,Second,15,2143,5,1675000,white,19,22,1,0,2,10
Hyundai,Verna,2018,10250,Diesel,Manual,First,22,1582,5,1095000,red,10,184,1,1,0,8
Maruti,Wagon R,2011,43874,Petrol,Manual,First,19,998,5,245000,red,18,189,4,1,0,8
Tata,Nano,2017,32684,Petrol,Automatic,First,22,624,4,323000,silver,27,117,4,0,0,9
Mahindra,Scorpio,2014,42000,Diesel,Manual,First,12,2179,8,775000,black,17,161,1,1,0,0
Mercedes-Benz,New,2009,28352,Petrol,Automatic,First,12,1796,5,935000,white,19,118,4,0,0,10
Maruti,Wagon R,2013,89900,CNG,Manual,First,22,998,5,325000,white,18,189,0,1,0,10
Honda,CR-V,2007,47700,Petrol,Manual,Second,11,2354,5,525000,white,9,35,4,1,2,10
Volkswagen,Vento,2015,55000,Diesel,Automatic,First,21,1498,5,725000,red,29,181,1,0,0,8
Maruti,Ciaz,2017,44285,Petrol,Manual,First,21,1373,5,747000,red,18,43,4,1,0,8
Mahindra,XUV500,2016,54000,Diesel,Automatic,First,16,2179,7,1325000,silver,17,201,1,0,0,9
Maruti,Ritz,2016,30232,Petrol,Manual,First,21,1197,5,581000,black,18,145,4,1,0,0
Maruti,Alto,2014,88500,Petrol,Manual,First,24,998,5,260000,black,18,15,4,1,0,0
Mercedes-Benz,SLC,2017,13372,Petrol,Automatic,First,19,2996,2,5400000,black,19,153,4,0,0,0
Hyundai,Verna,2019,12645,Petrol,Automatic,First,17,1591,5,1150000,white,10,184,4,0,0,10
Maruti,Alto,2010,94385,Petrol,Manual,Second,20,796,5,160000,white,18,15,4,1,2,10
BMW,1,2015,31821,Diesel,Automatic,First,21,1995,5,1722000,white,2,0,1,0,0,10
Honda,Jazz,2015,12000,Petrol,Automatic,First,19,1199,5,600000,white,9,99,4,0,0,10
Honda,Civic,2012,88578,Petrol,Manual,First,14,1799,5,395000,white,9,45,4,1,0,10
Mercedes-Benz,New,2014,44965,Diesel,Automatic,First,19,2143,5,1795000,white,19,118,1,0,0,10
Honda,Amaze,2014,45044,Diesel,Manual,First,26,1498,5,370000,white,9,16,1,1,0,10
Maruti,Swift,2016,34204,Petrol,Manual,First,22,1197,5,543000,red,18,169,4,1,0,8
Hyundai,Santro,2008,80759,Petrol,Manual,Third,17,1086,5,167000,white,10,159,4,1,3,10
Toyota,Fortuner,2012,91235,Diesel,Manual,First,12,2982,7,1349000,white,28,79,1,1,0,10
Chevrolet,Beat,2014,38800,Petrol,Manual,First,19,1199,5,285000,white,4,26,4,1,0,10
Skoda,Rapid,2013,83000,Diesel,Manual,First,21,1498,5,475000,grey,25,142,1,1,0,5
Maruti,Ciaz,2018,41283,Petrol,Manual,First,21,1373,5,990000,white,18,43,4,1,0,10
Audi,RS5,2013,23000,Petrol,Automatic,First,11,2894,4,3700000,blue,1,141,4,0,0,1
BMW,3,2014,48000,Diesel,Automatic,First,22,1995,5,2650000,white,2,2,1,0,0,10
Audi,A4,2015,48214,Diesel,Automatic,First,17,1968,5,2332000,black,1,10,1,0,0,0
Maruti,Swift,2016,35000,Diesel,Manual,First,23,1248,5,625000,black,18,169,1,1,0,0
Mercedes-Benz,S,2010,35277,Petrol,Automatic,First,8,5461,5,3000000,silver,19,147,4,0,0,9
Skoda,Rapid,2016,54620,Diesel,Automatic,First,22,1498,5,986000,brown,25,142,1,0,0,2
Skoda,Superb,2012,136997,Diesel,Automatic,First,17,1968,5,850000,black,25,168,1,0,0,0
Hyundai,EON,2019,14322,Petrol,Manual,First,21,814,5,423000,silver,10,61,4,1,0,9
Volkswagen,Polo,2012,65634,Diesel,Manual,First,22,1199,5,350000,red,29,131,1,1,0,8
Datsun,GO,2016,6000,Petrol,Manual,First,21,1198,5,250000,blue,5,88,4,1,0,1
Honda,Brio,2013,33280,Petrol,Manual,First,19,1198,5,239000,black,9,31,4,1,0,0
Mercedes-Benz,B,2013,29000,Petrol,Automatic,First,15,1595,5,1125000,black,19,22,4,0,0,0
Honda,City,2015,42831,Diesel,Manual,First,26,1498,5,711000,white,9,44,1,1,0,10
Toyota,Innova,2016,90000,Diesel,Manual,First,13,2494,7,1090000,white,28,98,1,1,0,10
Maruti,Swift,2017,24005,Petrol,Manual,First,20,1197,5,620000,blue,18,169,4,1,0,1
Mahindra,XUV500,2012,32792,Diesel,Manual,First,15,2179,7,790000,blue,17,201,1,1,0,1
Ford,Ecosport,2014,147898,Diesel,Manual,First,23,1498,5,442000,silver,8,63,1,1,0,9
Toyota,Fortuner,2012,131765,Diesel,Manual,First,13,2982,7,1350000,white,28,79,1,1,0,10
Volkswagen,Vento,2013,65000,Diesel,Automatic,First,22,1498,5,625000,grey,29,181,1,0,0,5
Ford,Figo,2010,66123,Diesel,Manual,Second,20,1399,5,210000,grey,8,77,1,1,2,5
BMW,X5,2015,41000,Diesel,Automatic,First,15,2993,5,4500000,grey,2,193,1,0,0,5
Mercedes-Benz,New,2017,23550,Diesel,Automatic,First,19,2143,5,3365999,white,19,118,1,0,0,10
Honda,Brio,2012,45000,Petrol,Manual,Second,19,1198,5,365000,white,9,31,4,1,2,10
Hyundai,i10,2013,60000,Petrol,Manual,First,20,1197,5,275000,white,10,209,4,1,0,10
Mercedes-Benz,GLC,2016,44414,Diesel,Automatic,First,18,2143,5,4250000,silver,19,85,1,0,0,9
Hyundai,Grand,2019,1000,Petrol,Manual,First,19,1197,5,650000,silver,10,91,4,1,0,9
Audi,A6,2012,62500,Diesel,Automatic,Second,18,1968,5,1900000,red,1,11,1,0,2,8
Volkswagen,Vento,2013,21000,Petrol,Automatic,Second,14,1598,5,445000,black,29,181,4,0,2,0
Mini,Countryman,2017,8525,Diesel,Automatic,Second,17,1998,5,2300000,black,20,52,1,0,2,0
Hyundai,i20,2014,29000,Diesel,Manual,First,23,1396,5,835000,red,10,210,1,1,0,8
Audi,A6,2014,40000,Diesel,Automatic,First,18,1968,5,2295000,white,1,11,1,0,0,10
Chevrolet,Beat,2012,88000,Diesel,Manual,First,25,936,5,150000,blue,4,26,1,1,0,1
Skoda,Superb,2012,53537,Petrol,Automatic,First,14,1798,5,689000,blue,25,168,4,0,0,1
Ford,Fiesta,2006,216000,Diesel,Manual,Second,18,1399,5,145000,black,8,76,1,1,2,0
BMW,5,2014,51000,Diesel,Automatic,First,22,1995,5,3350000,white,2,3,1,0,0,10
Chevrolet,Optra,2007,118500,Petrol,Manual,First,13,1598,5,125000,blue,4,124,4,1,0,1
Volkswagen,Polo,2012,63000,Diesel,Manual,First,22,1199,5,420000,black,29,131,1,1,0,0
Renault,Lodgy,2015,25000,Diesel,Manual,First,20,1461,8,675000,black,24,108,1,1,0,0
Mercedes-Benz,E-Class,2014,37382,Diesel,Automatic,First,13,2143,5,3200000,black,19,60,1,0,0,0
Maruti,Baleno,2017,24773,Petrol,Manual,First,21,1197,5,750000,red,18,25,4,1,0,8
Hyundai,Verna,2012,62000,Diesel,Manual,First,22,1582,5,459999,red,10,184,1,1,0,8
Hyundai,i10,2017,52340,Petrol,Manual,First,20,1086,5,404000,red,10,209,4,1,0,8
Mahindra,Scorpio,2016,56739,Diesel,Manual,First,15,1997,7,1031000,red,17,161,1,1,0,8
Land,Rover,2018,36091,Diesel,Automatic,First,13,2179,5,5576000,black,16,146,1,0,0,0
Ford,Figo,2010,120000,Diesel,Manual,First,20,1399,5,260000,black,8,77,1,1,0,0
Maruti,Ertiga,2016,33000,Diesel,Manual,First,25,1248,7,850000,black,18,69,1,1,0,0
Honda,City,2007,60006,Petrol,Manual,First,0,0,0,295000,white,9,44,4,1,0,10
Honda,Amaze,2014,52000,Diesel,Manual,First,26,1498,5,350000,white,9,16,1,1,0,10
Hyundai,i10,2015,43571,Petrol,Manual,First,20,1197,5,355000,custom,10,209,4,1,0,3
Honda,Amaze,2013,50000,Diesel,Manual,First,26,1498,5,325000,custom,9,16,1,1,0,3
Skoda,Laura,2008,113000,Diesel,Manual,First,18,1896,5,450000,black,25,106,1,1,0,0
Renault,Duster,2014,90000,Diesel,Manual,First,20,1461,5,535000,black,24,57,1,1,0,0
Mahindra,NuvoSport,2017,29000,Diesel,Manual,Second,17,1493,7,650000,white,17,120,1,1,2,10
Maruti,Vitara,2016,20000,Diesel,Manual,First,24,1248,5,900000,silver,18,186,1,1,0,9
Hyundai,i20,2016,61012,Petrol,Manual,First,19,1197,5,600000,silver,10,210,4,1,0,9
Skoda,Fabia,2009,87459,Petrol,Manual,First,15,1390,5,275000,orange,25,75,4,1,0,6
Tata,Indigo,2010,70500,Petrol,Manual,First,16,1193,5,150000,silver,27,97,4,1,0,9
Audi,Q3,2015,64103,Diesel,Automatic,First,16,1968,5,1989999,white,1,135,1,0,0,10
Skoda,Octavia,2014,76000,Petrol,Automatic,First,15,1798,5,1000000,white,25,121,4,0,0,10
Toyota,Etios,2014,104000,Diesel,Manual,First,24,1364,5,300000,black,28,72,1,1,0,0
Maruti,Swift,2010,42001,Petrol,Manual,First,16,0,0,211000,white,18,169,4,1,0,10
Mercedes-Benz,B,2014,37245,Petrol,Automatic,First,15,1595,5,1196000,white,19,22,4,0,0,10
Honda,Amaze,2013,45000,Diesel,Manual,First,27,1498,5,325000,white,9,16,1,1,0,10
Hyundai,Verna,2012,117837,Diesel,Manual,Second,22,1582,5,475000,red,10,184,1,1,2,8
Renault,Duster,2014,30000,Diesel,Manual,First,20,1461,5,595000,red,24,57,1,1,0,8
Hyundai,Creta,2015,27057,Petrol,Manual,Second,15,1591,5,815000,grey,10,53,4,1,2,5
Maruti,Wagon R,2016,8500,Petrol,Automatic,First,21,998,5,422000,white,18,189,4,0,0,10
Mercedes-Benz,New,2010,30500,Petrol,Automatic,First,12,1796,5,1050000,white,19,118,4,0,0,10
Audi,A8,2012,56000,Diesel,Automatic,First,12,2967,5,4500000,white,1,13,1,0,0,10
Hyundai,i10,2012,44000,Petrol,Manual,Second,20,1086,5,290000,white,10,209,4,1,2,10
Skoda,Rapid,2017,10500,Petrol,Automatic,First,14,1598,5,890000,white,25,142,4,0,0,10
Skoda,Superb,2017,26000,Petrol,Automatic,First,15,1798,5,2600000,blue,25,168,4,0,0,1
Hyundai,i20,2018,25166,Petrol,Manual,First,17,1197,5,822000,black,10,210,4,1,0,0
Honda,Amaze,2014,64000,Diesel,Manual,Second,26,1498,5,350000,red,9,16,1,1,2,8
Maruti,Wagon R,2004,61000,Petrol,Manual,Second,19,998,5,125000,blue,18,189,4,1,2,1
Mahindra,Verito,2013,107000,Diesel,Manual,First,21,1461,5,370000,blue,17,183,1,1,0,1
Mercedes-Benz,New,2018,29161,Diesel,Automatic,First,19,2143,5,3940999,white,19,118,1,0,0,10
Maruti,Wagon R,2013,32000,Petrol,Manual,First,23,998,5,265000,black,18,189,4,1,0,0
Nissan,Terrano,2015,46173,Diesel,Manual,Second,19,1461,5,892000,white,22,174,1,1,2,10
Maruti,Swift,2013,47000,Diesel,Manual,First,18,1248,5,409999,black,18,169,1,1,0,0
Mini,Cooper,2017,26327,Petrol,Automatic,First,17,1998,4,3567000,grey,20,50,4,0,0,5
Ford,Figo,2015,70436,Diesel,Manual,First,0,1498,0,360000,silver,8,77,1,1,0,9
Tata,Indica,2007,200000,Diesel,Manual,Second,17,1396,5,85000,white,27,96,1,1,2,10
Chevrolet,Beat,2016,60813,Petrol,Manual,Second,19,1199,5,332000,white,4,26,4,1,2,10
Volkswagen,Polo,2012,45000,Diesel,Manual,First,22,1199,5,360000,white,29,131,1,1,0,10
Maruti,Swift,2016,64000,Diesel,Manual,First,23,1248,5,680000,green,18,169,1,1,0,4
Ford,Figo,2012,41284,Diesel,Manual,First,20,1399,5,250000,white,8,77,1,1,0,10
Toyota,Innova,2019,14165,Diesel,Automatic,First,11,2755,7,1964000,white,28,98,1,0,0,10
Hyundai,Santa,2011,67000,Diesel,Automatic,Second,12,2199,7,700000,white,10,158,1,0,2,10
Honda,City,2011,32572,Petrol,Manual,First,17,1497,5,387000,black,9,44,4,1,0,0
Hyundai,i20,2018,14960,Petrol,Manual,First,19,1197,5,627000,blue,10,210,4,1,0,1
Mercedes-Benz,New,2015,55980,Diesel,Automatic,First,19,2143,5,1812000,red,19,118,1,0,0,8
Chevrolet,Beat,2013,74000,Diesel,Manual,First,25,936,5,265000,green,4,26,1,1,0,4
Hyundai,i20,2015,56847,Diesel,Manual,First,23,1396,5,720000,black,10,210,1,1,0,0
Toyota,Innova,2015,121374,Diesel,Manual,First,13,2494,7,1430000,black,28,98,1,1,0,0
Maruti,Ertiga,2013,52000,Diesel,Manual,First,21,1248,7,690000,grey,18,69,1,1,0,5
Toyota,Innova,2014,118000,Diesel,Manual,First,13,2494,7,1075000,grey,28,98,1,1,0,5
Hyundai,Santro,2007,72000,Petrol,Manual,Third,17,1086,5,95000,white,10,159,4,1,3,10
Honda,City,2016,33915,Petrol,Manual,First,18,1497,5,809000,white,9,44,4,1,0,10
BMW,X1,2014,82002,Diesel,Automatic,First,17,1995,5,1850000,white,2,191,1,0,0,10
Hyundai,Grand,2017,33000,Diesel,Manual,First,24,1120,5,475000,white,10,91,1,1,0,10
Maruti,Ciaz,2016,34000,Diesel,Manual,First,28,1248,5,844999,white,18,43,1,1,0,10
Skoda,Rapid,2012,55000,Diesel,Manual,First,21,1598,5,350000,grey,25,142,1,1,0,5
Hyundai,Aent,2006,160538,Diesel,Manual,First,13,1493,5,180000,grey,10,14,1,1,0,5
Volkswagen,Polo,2014,60000,Diesel,Manual,Second,20,1498,5,370000,grey,29,131,1,1,2,5
Honda,Jazz,2017,49575,Petrol,Manual,First,19,1199,5,717000,blue,9,99,4,1,0,1
Hyundai,i10,2010,83000,Petrol,Manual,First,20,1086,5,175000,white,10,209,4,1,0,10
Hyundai,Tucson,2018,51346,Diesel,Automatic,First,16,1995,5,2199000,white,10,179,1,0,0,10
Toyota,Innova,2017,43000,Diesel,Manual,First,14,2393,7,1864999,white,28,98,1,1,0,10
Maruti,Omni,2011,35000,Petrol,Manual,Third,20,796,5,185000,white,18,122,4,1,3,10
Maruti,Swift,2017,27872,Petrol,Manual,Second,20,1197,5,595000,silver,18,169,4,1,2,9
Hyundai,Grand,2014,16514,Petrol,Manual,First,19,1197,5,375000,black,10,91,4,1,0,0
Maruti,Swift,2012,120000,Diesel,Manual,First,23,1248,5,375000,grey,18,169,1,1,0,5
Hyundai,Verna,2008,143275,Diesel,Manual,First,22,1582,5,260000,silver,10,184,1,1,0,9
Hyundai,Santro,2006,99000,Petrol,Manual,First,0,1086,5,175000,green,10,159,4,1,0,4
Hyundai,i20,2010,52000,Petrol,Manual,First,17,1197,5,280000,orange,10,210,4,1,0,6
Mercedes-Benz,GLE,2017,29819,Diesel,Automatic,First,12,2987,5,6129000,red,19,86,1,0,0,8
Mercedes-Benz,New,2014,57000,Diesel,Manual,Second,16,2148,5,1800000,red,19,118,1,1,2,8
Maruti,Ritz,2014,88500,Diesel,Manual,First,23,1248,5,434999,silver,18,145,1,1,0,9
